"Name","DisplayName","Status","StartType","Time"
"NetSetupSvc","Network Setup Service","Stopped","Manual","12-Sun-2024 10:43"
"NetTcpPortSharing","Net.Tcp Port Sharing Service","Stopped","Disabled","12-Sun-2024 10:43"
"NgcCtnrSvc","Microsoft Passport Container","Running","Manual","12-Sun-2024 10:43"
"NgcSvc","Microsoft Passport","Running","Manual","12-Sun-2024 10:43"
"NlaSvc","Network Location Awareness","Stopped","Manual","12-Sun-2024 10:43"
"NPSMSvc_9ed9e","Now Playing Session Manager Service_9ed9e","Running","Manual","12-Sun-2024 10:43"
"nsi","Network Store Interface Service","Running","Automatic","12-Sun-2024 10:43"
"nvagent","Network Virtualization Service","Running","Manual","12-Sun-2024 10:43"
"NvContainerLocalSystem","NVIDIA LocalSystem Container","Running","Automatic","12-Sun-2024 10:43"
"NVDisplay.ContainerLocalSystem","NVIDIA Display Container LS","Running","Automatic","12-Sun-2024 10:43"
"OneSyncSvc_9ed9e","Sync Host_9ed9e","Running","Automatic","12-Sun-2024 10:43"
"P9RdrService_9ed9e","P9RdrService_9ed9e","Stopped","Manual","12-Sun-2024 10:43"
"PcaSvc","Program Compatibility Assistant Service","Running","Automatic","12-Sun-2024 10:43"
"PeerDistSvc","BranchCache","Stopped","Manual","12-Sun-2024 10:43"
"PenService_9ed9e","PenService_9ed9e","Stopped","Manual","12-Sun-2024 10:43"
"perceptionsimulation","Windows Perception Simulation Service","Stopped","Manual","12-Sun-2024 10:43"
"PerfHost","Performance Counter DLL Host","Stopped","Manual","12-Sun-2024 10:43"
"PhoneSvc","Phone Service","Stopped","Manual","12-Sun-2024 10:43"
"PimIndexMaintenanceSvc_9ed9e","Contact Data_9ed9e","Stopped","Manual","12-Sun-2024 10:43"
"pla","Performance Logs & Alerts","Stopped","Manual","12-Sun-2024 10:43"
"PlugPlay","Plug and Play","Running","Manual","12-Sun-2024 10:43"
"PolicyAgent","IPsec Policy Agent","Running","Manual","12-Sun-2024 10:43"
"Power","Power","Running","Automatic","12-Sun-2024 10:43"
"PrintDeviceConfigurationService","Print Device Configuration Service","Stopped","Manual","12-Sun-2024 10:43"
"PrintNotify","Printer Extensions and Notifications","Stopped","Manual","12-Sun-2024 10:43"
